MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316001234,2024-08-15T00:00:00,69.117058,-105.051962,9.8,25.5,24,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:00:13,69.117423,-105.051044,10.8,25.1,25,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:00:28,69.118037,-105.050405,10.4,25.9,24,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:00:40,69.118415,-105.049233,10.7,25.3,31,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:00:59,69.119219,-105.048943,10.2,23.0,16,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:01:17,69.120475,-105.048023,10.5,24.3,20,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:01:27,69.120753,-105.04685,10.7,23.6,26,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316001234,2024-08-15T00:01:40,69.121178,-105.046196,10.1,22.6,27,CCGS_AMUNDSEN,52,0,98,20,7.5,52,A
316009012,2024-08-15T00:02:00,69.444464,-133.034517,6.7,60.7,57,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:02:13,69.445202,-133.033084,6.4,60.2,59,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:02:22,69.445487,-133.032993,6.9,60.2,61,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:02:34,69.445664,-133.031803,6.6,55.4,58,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:02:43,69.446078,-133.031148,5.0,57.6,56,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:02:51,69.446219,-133.030749,6.8,62.2,56,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:03:05,69.446142,-133.029712,6.0,58.9,65,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:03:16,69.446547,-133.029158,6.6,57.1,59,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:03:24,69.446772,-133.028378,5.4,57.1,62,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:03:39,69.446833,-133.027314,5.5,59.5,65,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:03:50,69.446841,-133.026711,5.3,63.6,63,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:00,69.44721,-133.0262,6.0,60.4,61,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:14,69.44725,-133.024637,5.7,62.4,60,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:24,69.44712,-133.023404,6.8,61.7,60,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:35,69.447509,-133.023795,5.6,60.3,57,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:45,69.447543,-133.022762,5.6,59.0,57,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316009012,2024-08-15T00:04:57,69.447498,-133.021629,6.8,59.9,57,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:00,63.746858,-68.517377,7.9,341.8,340,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:05,69.448068,-133.021183,5.3,59.3,61,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:13,63.747524,-68.517674,7.8,343.7,511,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:15,69.448097,-133.020251,4.7,58.5,58,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:21,63.747533,-68.517974,7.6,342.7,342,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:23,69.448146,-133.019907,6.1,60.4,62,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:30,63.74783,-68.517293,8.5,340.7,338,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:35,69.448254,-133.01836,5.8,62.9,55,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:40,63.748292,-68.517836,7.2,344.1,344,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:47,69.448784,-133.018092,5.6,60.5,57,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:05:51,63.74849,-68.51788,7.6,344.5,346,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:05:56,69.449079,-133.017491,6.2,59.5,54,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:06:01,63.749291,-68.518801,7.2,346.2,345,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:06:08,69.448848,-133.016691,5.7,59.4,60,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
316005678,2024-08-15T00:06:13,63.749415,-68.518357,8.3,341.5,340,UMIAK_I,70,0,225,32,10.1,70,A
316009012,2024-08-15T00:06:23,69.449263,-133.015464,5.6,60.5,55,MV_NUNAVUT_EASTERN,79,0,87,16,5.3,79,A
